date,description,link,html
Jan 13 2012 3:00 pm,DUNKERTON - Iowa --- The arrest Wednesday of the city's mayor and his nephew for allegedly interfering with a police officer during a traffic stop garnered varied reactions - ranging from sharp criticism from some city officials to unwavering support from some residents.,http://wcfcourier.com/news/local/mayor-s-arrest-rattles-dunkerton/article_6bc58193-06ed-5583-a40a-59b31fb63c95.html,"<h2 class=""timeline-img-hed"">Mayor's arrest rattles Dunkerton</h2><img alt="""" src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/6/e3/6e344894-3b44-11e1-b53a-001871e3ce6c/4f0bbfe9132b8.image.jpg"" width=""300"" />"
Jan 12 2012 1:00 pm,DUNKERTON - Iowa --- The mayor of Dunkerton approached the town's part-time police officer rapidly and got within arms' reach during a December traffic stop - according to investigators with the Black Hawk County Sheriff's Office.,http://wcfcourier.com/news/local/new-details-dunkerton-mayor-nephew-face-charges-in-ticket-dispute/article_9c6404f6-3cdf-11e1-90d2-001871e3ce6c.html,"<h2 class=""timeline-img-hed"">NEW DETAILS: Dunkerton mayor - nephew face charges in ticket dispute</h2><img alt="""" src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/d/35/d35782e8-3d35-11e1-8fd3-0019bb2963f4/4f0f026698e7f.image.jpg"" width=""300"" />"
Jan 10 2012 5:45 am,DUNKERTON - Iowa --- Citizens came out in force Monday to support Dunkerton's police officers as Mayor Mike Schares explores disbanding the department.,http://wcfcourier.com/news/local/govt-and-politics/update-dunkerton-residents-disapprove-of-disbanding-police-department/article_1ec5f586-3b4f-11e1-a88d-001871e3ce6c.html,"<h2 class=""timeline-img-hed"">UPDATE: Dunkerton residents disapprove of disbanding police department</h2><img alt="""" src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/d/1c/d1ce2704-3b43-11e1-91d2-001871e3ce6c/4f0bbee2a7017.image.jpg"" width=""300"" />"
Jan 06 2012 3:00 pm,DUNKERTON --- Days after a blowup with the city's part-time police officer - Mayor Mike Schares started the process to possibly eliminate Dunkerton's police department.,http://wcfcourier.com/news/local/dunkerton-mayor-eyed-eliminating-police-force/article_ef36133f-a64c-51f5-8009-fcf28965df89.html,"<h2 class=""timeline-img-hed"">Dunkerton mayor eyed eliminating police force</h2><img alt="""" src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/6/28/6287138a-324a-11e1-8d1f-001871e3ce6c/4efcb06df374a.image.jpg"" width=""300"" />"
Dec 30 2011 6:45 pm,DUNKERTON - Iowa --- Law enforcement officials are investigating an incident involving a minor traffic violation that escalated into allegations of abuse of power by Mayor Mike Schares.,http://wcfcourier.com/news/local/probe-centers-on-alleged-firing-of-dunkerton-cop-over-traffic/article_b825c568-b591-5af2-ae57-8d9c6e8a2845.html,"<h2 class=""timeline-img-hed"">Probe centers on alleged firing of Dunkerton cop over traffic stop</h2><img alt="""" src=""http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/6/28/6287138a-324a-11e1-8d1f-001871e3ce6c/4efcb06df374a.image.jpg"" width=""300"" />"
